title,price,sold,rating,location,link
"Điện thoại HONOR X5 Plus 4GB+64GB | Pin 5200mAh 90Hz | Màn hình 6.56"" | BH 13 Tháng Hàng Chính Hãng",2.190.000 ₫,1.2K Đã bán,625,Long An,https://www.lazada.vn/products/dien-thoai-honor-x5-plus-4gb64gb-pin-5200mah-90hz-man-hinh-656-bh-13-thang-hang-chinh-hang-i2474446767.html
"[SIÊU SALE TỪ 20H 1.2] Điện thoại Samsung Galaxy A05s 4GB/128GB, Màn hình 6.7"", Ba camera sau đến 50MP, Chip Snapdragon 680, Pin 5000mAh",3.190.000 ₫,9.0K Đã bán,2439,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12-dien-thoai-samsung-galaxy-a05s-4gb128gb-man-hinh-67-ba-camera-sau-den-50mp-chip-snapdragon-680-pin-5000mah-i2417715735.html
điện thoại 0ppo A37 - 0ppo Neo 9 ram 2G rom 16G 2sim zin đẹp,399.000 ₫,386 Đã bán,82,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-0ppo-a37-0ppo-neo-9-ram-2g-rom-16g-2sim-zin-dep-i2686720967.html
Điện thoại Sam sung j810 (ảnh thật sản phẩm),569.000 ₫,16 Đã bán,9,Hà Nội,https://www.lazada.vn/products/dien-thoai-sam-sung-j810-anh-that-san-pham-i2369292099.html
Stick$r - V@ucher lPhone 16 Promax 512Gb S-1992 Sl Có hạn,29.000 ₫,34 Đã bán,7,Hồ Chí Minh,https://www.lazada.vn/products/stickr-vucher-lphone-16-promax-512gb-s-1992-sl-co-han-i2966617456.html
điện thoại 0ppo A83 ram 6G rom 128G 2sim zin đẹp,698.000 ₫,33 Đã bán,11,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-0ppo-a83-ram-6g-rom-128g-2sim-zin-dep-i2792702865.html
"điện thoại Realme 5 Pro ram 8G/256G 2sim Chính Hãng, Camera sau: Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP, màn 6.3'' máy nhiều màu_CMS",497.000 ₫,15 Đã bán,11,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-realme-5-pro-ram-8g256g-2sim-chinh-hang-camera-sau-chinh-48-mp-phu-8-mp-2-mp-2-mp-man-63-may-nhieu-mau_cms-i2866749288.html
Điện Thoại Thông Minh Giá Rẻ Samsung Galaxy J2 prime G532 Hỗ Trợ 4G,267.000 ₫,1.0K Đã bán,439,Hà Nội,https://www.lazada.vn/products/dien-thoai-thong-minh-gia-re-samsung-galaxy-j2-prime-g532-ho-tro-4g-i2433646174.html
ĐIện thoại chính hãng Samsung Galaxy J4 Plus màn to giá rẻ hỗ trợ 4G LTE,449.000 ₫,82 Đã bán,43,Hà Nội,https://www.lazada.vn/products/dien-thoai-chinh-hang-samsung-galaxy-j4-plus-man-to-gia-re-ho-tro-4g-lte-i2852061959.html
điện thoại samsung galaxy grand prime g530 mới 99%,199.000 ₫,354 Đã bán,119,Hà Nội,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-grand-prime-g530-moi-99-i1520329230.html
"[SIÊU SALE TỪ 20H 1.2][QUÀ QUẤN KÈM HÀNG] Điện thoại Samsung Galaxy A35 5G, Màn hình Super AMOLED 6,6"" FHD+, Kháng bụi nước IP67",7.690.000 ₫,2.5K Đã bán,419,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12qua-quan-kem-hang-dien-thoai-samsung-galaxy-a35-5g-man-hinh-super-amoled-66-fhd-khang-bui-nuoc-ip67-i2579325109.html
"[SIÊU SALE TỪ 20H 1.2][KIỂM TRA GIỎ HÀNG] Điện thoại Samsung Galaxy S24 Ultra, Điện thoại AI, Camera 200MP, Màn hình lớn 6.8""",31.989.000 ₫,4.8K Đã bán,992,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12kiem-tra-gio-hang-dien-thoai-samsung-galaxy-ultra-dien-thoai-ai-camera-200mp-man-hinh-lon-68-i2540035297.html
"[SIÊU SALE TỪ 20H 1.2] Điện thoại Samsung Galaxy S25 Ultra, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, S Pen đa nhiệm",33.990.000 ₫,140 Đã bán,37,Bắc Ninh,https://www.lazada.vn/products/sieu-sale-tu-20h-12-dien-thoai-samsung-galaxy-ultra-dien-thoai-ai-tim-kiem-thong-minh-video-camera-dem-nightography-s-pen-da-nhiem-i2978129024.html
[Sale 12.12] Điện thoại OPPO A38 4GB/128GB - Hàng chính hãng,3.990.000 ₫,1.9K Đã bán,632,Hồ Chí Minh,https://www.lazada.vn/products/sale-1212-dien-thoai-oppo-a38-4gb128gb-hang-chinh-hang-i2578470532.html
[Sale 15.02] Điện Thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,4.990.000 ₫,10.4K Đã bán,3193,Hà Nội,https://www.lazada.vn/products/sale-1502-dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html
"[SIÊU SALE TỪ 20H 1.2] Điện thoại Samsung Galaxy S25, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon",22.990.000 ₫,30 Đã bán,5,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12-dien-thoai-samsung-galaxy-dien-thoai-ai-tim-kiem-thong-minh-video-camera-dem-nightography-chip-snapdragon-i2977989664.html
"[SIÊU SALE TỪ 20H 1.2][TẶNG CỦ SẠC 25W + TAI NGHE][QUÀ QUẤN KÈM HÀNG] Điện thoại Samsung Galaxy A06 (4GB/128GB), màn hình to rộng 6.7"" 60Hz, mỏng nhẹ, hiệu năng mạnh mẽ",3.489.000 ₫,2.7K Đã bán,504,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12tang-cu-sac-25w-tai-nghequa-quan-kem-hang-dien-thoai-samsung-galaxy-a06-4gb128gb-man-hinh-to-rong-67-60hz-mong-nhe-hieu-nang-manh-me-i2795695832.html
"[SIÊU SALE TỪ 20H 1.2] Điện thoại Samsung Galaxy A25 5G, Màn hình Super AMOLED 120hz, Camera đến 50MP",5.490.000 ₫,773 Đã bán,131,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12-dien-thoai-samsung-galaxy-a25-5g-man-hinh-super-amoled-120hz-camera-den-50mp-i2496646653.html
Điện thoại di động thông minh HONOR X7b 8GB + 256GB | Pin 6000mAh sạc nhanh 35W | Camera 108MP|Chip Snapdragon 680| Màn hình lớn 6.8 inch | BH 13 Tháng Hàng chính hãng,3.690.000 ₫,247 Đã bán,106,Long An,https://www.lazada.vn/products/dien-thoai-di-dong-thong-minh-honor-x7b-8gb-256gb-pin-6000mah-sac-nhanh-35w-camera-108mpchip-snapdragon-680-man-hinh-lon-68-inch-bh-13-thang-hang-chinh-hang-i2598918261.html
[SIÊU SALE TỪ 20H 1.2][QUÀ QUẤN KÈM HÀNG] Điện thoại Samsung Galaxy A16 LTE (4GB/128GB),4.832.000 ₫,146 Đã bán,26,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12qua-quan-kem-hang-dien-thoai-samsung-galaxy-a16-lte-4gb128gb-i2936481850.html
"[SIÊU SALE TỪ 20H 1.2][QUÀ QUẤN KÈM HÀNG] Điện thoại Samsung Galaxy A16 5G (8GB/128GB), màn hình Super AMOLED 6.7"", kháng bụi nước IP54, bền mượt 6 năm",6.090.000 ₫,219 Đã bán,31,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12qua-quan-kem-hang-dien-thoai-samsung-galaxy-a16-5g-8gb128gb-man-hinh-super-amoled-67-khang-bui-nuoc-ip54-ben-muot-6-nam-i2841533959.html
"[SIÊU SALE TỪ 20H 1.2][TẶNG CỦ SẠC 15W- QUẤN KÈM HÀNG] Điện thoại Samsung Galaxy A55 5G, Màn hình Super AMOLED 6,6"", Camera AI, Vi xử lý mạnh mẽ 4nm",8.990.000 ₫,1.4K Đã bán,306,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12tang-cu-sac-15w-quan-kem-hang-dien-thoai-samsung-galaxy-a55-5g-man-hinh-super-amoled-66-camera-ai-vi-xu-ly-manh-me-4nm-i2579325108.html
"[SIÊU SALE TỪ 20H 1.2] Điện thoại Samsung Galaxy S25+, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon",26.990.000 ₫,17 Đã bán,5,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12-dien-thoai-samsung-galaxy-dien-thoai-ai-tim-kiem-thong-minh-video-camera-dem-nightography-chip-snapdragon-i2977981604.html
"[SIÊU SALE TỪ 20H 1.2][TẶNG WATCH FE - KIỂM TRA GIỎ HÀNG] Điện thoại Samsung Galaxy Z Fold6, điện thoại AI, màn hình cực đại 7.6"", mỏng nhẹ",43.989.000 ₫,132 Đã bán,16,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-tu-20h-12tang-watch-fe-kiem-tra-gio-hang-dien-thoai-samsung-galaxy-z-fold6-dien-thoai-ai-man-hinh-cuc-dai-76-mong-nhe-i2688813451.html
"Điện thoại thông minh POCO C75 (6+128GB | 8+256GB) | Màn hình 6,88"" | Pin 5160mAh | Camera kép 50MP AI",3.990.000 ₫,3.0K Đã bán,506,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-thong-minh-poco-c75-6128gb-8256gb-man-hinh-688-pin-5160mah-camera-kep-50mp-ai-i2839918970.html
