productID,productName,productURL,productImage,productRating,productNumRate,productNumSold,productBrand,categoryID,categoryInfo,productOrgPrice,productCrtPrice,sellerID,sellerName,sellerURL,sellerRating,sellerType,sellerLocation,inventoryStatus,inventoryStock,promotion
123705643,Sơn nước Lau Chùi Thoải Mái BEAUTY EZ CLEAN Nội thất trong nhà cao cấp màu xanh ngọc xanh lá đậm nhạt 1 Lít,son-nuoc-lau-chui-thoai-mai-beauty-ez-clean-noi-that-trong-nha-cao-cap-mau-xanh-ngoc-xanh-la-dam-nhat-1-lit-123705643,https://media3.scdn.vn/img4/2025/01_16/M1ZS71dA01vXeuJO1Dwf_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2849/3640/3656,"[{""id"": 2849, ""title"": ""Tân Trang Nhà Cửa"", ""path"": ""tan-trang-nha-cua"", ""url_key"": ""tan-trang-nha-cua""}, {""id"": 3640, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac"", ""url_key"": ""tan-trang-nha-cua-khac""}, {""id"": 3656, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac/tan-trang-nha-cua-khac-3"", ""url_key"": ""tan-trang-nha-cua-khac-3""}]",124000,124000,820403,SON CHAU,shop/son-chau,4.8,"[""shop_plus""]",Bà Rịa–Vũng Tàu,1,60,0
123688673,Sơn nước Lau Chùi Thoải Mái BEAUTY EZ CLEAN Nội thất trong nhà cao cấp màu Xanh ngọc lá đậm rêu 1 Lít,son-nuoc-lau-chui-thoai-mai-beauty-ez-clean-noi-that-trong-nha-cao-cap-mau-xanh-ngoc-la-dam-reu-1-lit-123688673,https://media3.scdn.vn/img4/2025/01_05/DWMIPYHAIu706UU8ePjF_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2849/3640/3656,"[{""id"": 2849, ""title"": ""Tân Trang Nhà Cửa"", ""path"": ""tan-trang-nha-cua"", ""url_key"": ""tan-trang-nha-cua""}, {""id"": 3640, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac"", ""url_key"": ""tan-trang-nha-cua-khac""}, {""id"": 3656, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac/tan-trang-nha-cua-khac-3"", ""url_key"": ""tan-trang-nha-cua-khac-3""}]",124000,124000,820403,SON CHAU,shop/son-chau,4.8,"[""shop_plus""]",Bà Rịa–Vũng Tàu,1,59,0
123705079,Sơn nước Lau Chùi Thoải Mái BEAUTY EZ CLEAN Nội thất trong nhà cao cấp màu kem gạch cam đất 1 Lít,son-nuoc-lau-chui-thoai-mai-beauty-ez-clean-noi-that-trong-nha-cao-cap-mau-kem-gach-cam-dat-1-lit-123705079,https://media3.scdn.vn/img4/2025/01_16/N15miRmnwhLFpyJVfzru_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2849/3640/3656,"[{""id"": 2849, ""title"": ""Tân Trang Nhà Cửa"", ""path"": ""tan-trang-nha-cua"", ""url_key"": ""tan-trang-nha-cua""}, {""id"": 3640, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac"", ""url_key"": ""tan-trang-nha-cua-khac""}, {""id"": 3656, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac/tan-trang-nha-cua-khac-3"", ""url_key"": ""tan-trang-nha-cua-khac-3""}]",124000,124000,820403,SON CHAU,shop/son-chau,4.8,"[""shop_plus""]",Bà Rịa–Vũng Tàu,1,60,0
123704856,Sơn nước BEAUTY Nội thất Trong nhà màu kem gạch cam đất 1 Lít của URAI PAINTS,son-nuoc-beauty-noi-that-trong-nha-mau-kem-gach-cam-dat-1-lit-cua-urai-paints-123704856,https://media3.scdn.vn/img4/2025/01_15/NqffsZM5euWyKona4Mwx_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2849/3640/3656,"[{""id"": 2849, ""title"": ""Tân Trang Nhà Cửa"", ""path"": ""tan-trang-nha-cua"", ""url_key"": ""tan-trang-nha-cua""}, {""id"": 3640, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac"", ""url_key"": ""tan-trang-nha-cua-khac""}, {""id"": 3656, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac/tan-trang-nha-cua-khac-3"", ""url_key"": ""tan-trang-nha-cua-khac-3""}]",109000,109000,820403,SON CHAU,shop/son-chau,4.8,"[""shop_plus""]",Bà Rịa–Vũng Tàu,1,666,0
117836700,"Bộ Đính Đá Full Nội Thất Xe Mitsubishi Xpander chất liệu đá cao cấp Swarovski sang trọng, thời thượng",bo-dinh-da-full-noi-that-xe-mitsubishi-xpander-chat-lieu-da-cao-cap-swarovski-sang-trong-thoi-thuong-117836700,https://media3.scdn.vn/img4/2024/07_23/hyNdBxCTpmj1VjP2wc3x_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2150/2157/2172,"[{""id"": 2150, ""title"": ""Ô tô - Xe máy"", ""path"": ""o-to-xe-may"", ""url_key"": ""o-to-xe-may""}, {""id"": 2157, ""title"": ""Phụ kiện bên trong ô tô"", ""path"": ""o-to-xe-may/phu-kien-ben-trong-o-to"", ""url_key"": ""phu-kien-ben-trong-o-to""}, {""id"": 2172, ""title"": ""Phụ kiện bên trong ô tô khác"", ""path"": ""o-to-xe-may/phu-kien-ben-trong-o-to/phu-kien-ben-trong-o-to-khac"", ""url_key"": ""phu-kien-ben-trong-o-to-khac""}]",920600,850000,988439,Sale Online Upto 50,shop/sale-online-upto-50,2.8,"[""shop_plus""]",Lâm Đồng,1,200,11
117622078,"Gấu cài cửa gió xe ô tô trang trí nội thất xe- tặng kèm viên sáp thơm khử mùi xe, trang trí xế yêu lung linh",gau-cai-cua-gio-xe-o-to-trang-tri-noi-that-xe-tang-kem-vien-sap-thom-khu-mui-xe-trang-tri-xe-yeu-lung-linh-117622078,https://media3.scdn.vn/img4/2024/07_23/CPpt7nqGdveIiMWFGljc_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2150/2157/2170,"[{""id"": 2150, ""title"": ""Ô tô - Xe máy"", ""path"": ""o-to-xe-may"", ""url_key"": ""o-to-xe-may""}, {""id"": 2157, ""title"": ""Phụ kiện bên trong ô tô"", ""path"": ""o-to-xe-may/phu-kien-ben-trong-o-to"", ""url_key"": ""phu-kien-ben-trong-o-to""}, {""id"": 2170, ""title"": ""Máy lọc không khí ô tô"", ""path"": ""o-to-xe-may/phu-kien-ben-trong-o-to/may-loc-khong-khi-o-to"", ""url_key"": ""may-loc-khong-khi-o-to""}]",541800,541800,988127,Saleshop88,shop/sale-shop-88,3.7,"[""shop_plus""]",Lâm Đồng,1,899991,0
117738917,"Lọ Dưỡng Bóng Nội Thất Xe WAX CARE - Tăng Độ Bền, Kéo Dài Tuổi Thọ Cho Ghế Da Oto",lo-duong-bong-noi-that-xe-wax-care-tang-do-ben-keo-dai-tuoi-tho-cho-ghe-da-oto-117738917,https://media3.scdn.vn/img4/2024/07_23/manvm26cq0U0KjCBQpK7_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2150/3431/3510,"[{""id"": 2150, ""title"": ""Ô tô - Xe máy"", ""path"": ""o-to-xe-may"", ""url_key"": ""o-to-xe-may""}, {""id"": 3431, ""title"": ""Chăm sóc và bảo dưỡng ô tô, xe máy"", ""path"": ""o-to-xe-may/cham-soc-va-bao-duong-o-to-xe-may"", ""url_key"": ""cham-soc-va-bao-duong-o-to-xe-may""}, {""id"": 3510, ""title"": ""Chăm sóc và bảo dưỡng ô tô, xe máy khác"", ""path"": ""o-to-xe-may/cham-soc-va-bao-duong-o-to-xe-may/cham-soc-va-bao-duong-o-to-xe-may-khac"", ""url_key"": ""cham-soc-va-bao-duong-o-to-xe-may-khac""}]",526500,515000,988194,Mua Hàng Ưu Đãi,shop/mua-hang-uu-dai,1,"[""shop_plus""]",Lâm Đồng,1,99,3
117838292,"Túi Gel Vệ Sinh nội thất xe hơi, Bàn Phím,gel Lau Bụi Xe Ô Tô Tái Sử Dụng nhiều lần chuẩn hàng Supper Clean",tui-gel-ve-sinh-noi-that-xe-hoi-ban-phim-gel-lau-bui-xe-o-to-tai-su-dung-nhieu-lan-chuan-hang-supper-clean-117838292,https://media3.scdn.vn/img4/2024/07_23/sM8sIWgGFWj30UL60aaK_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2150/3431/3510,"[{""id"": 2150, ""title"": ""Ô tô - Xe máy"", ""path"": ""o-to-xe-may"", ""url_key"": ""o-to-xe-may""}, {""id"": 3431, ""title"": ""Chăm sóc và bảo dưỡng ô tô, xe máy"", ""path"": ""o-to-xe-may/cham-soc-va-bao-duong-o-to-xe-may"", ""url_key"": ""cham-soc-va-bao-duong-o-to-xe-may""}, {""id"": 3510, ""title"": ""Chăm sóc và bảo dưỡng ô tô, xe máy khác"", ""path"": ""o-to-xe-may/cham-soc-va-bao-duong-o-to-xe-may/cham-soc-va-bao-duong-o-to-xe-may-khac"", ""url_key"": ""cham-soc-va-bao-duong-o-to-xe-may-khac""}]",479400,475000,988439,Sale Online Upto 50,shop/sale-online-upto-50,2.8,"[""shop_plus""]",Lâm Đồng,1,974,2
123691503,Sơn nước BEAUTY Nội thất Trong nhà màu Xanh lá nhạt đậm xanh rêu 1 Lít của URAI PAINTS,son-nuoc-beauty-noi-that-trong-nha-mau-xanh-la-nhat-dam-xanh-reu-1-lit-cua-urai-paints-123691503,https://media3.scdn.vn/img4/2025/01_09/CdlZtRt6Qehr3bUhKQqq_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2849/3640/3656,"[{""id"": 2849, ""title"": ""Tân Trang Nhà Cửa"", ""path"": ""tan-trang-nha-cua"", ""url_key"": ""tan-trang-nha-cua""}, {""id"": 3640, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac"", ""url_key"": ""tan-trang-nha-cua-khac""}, {""id"": 3656, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac/tan-trang-nha-cua-khac-3"", ""url_key"": ""tan-trang-nha-cua-khac-3""}]",109000,109000,820403,SON CHAU,shop/son-chau,4.8,"[""shop_plus""]",Bà Rịa–Vũng Tàu,1,666,0
123704730,Sơn nước BEAUTY Nội thất Trong nhà màu hồng phấn nhạt đậm tím 1 Lít của URAI PAINTS,son-nuoc-beauty-noi-that-trong-nha-mau-hong-phan-nhat-dam-tim-1-lit-cua-urai-paints-123704730,https://media3.scdn.vn/img4/2025/01_15/opnr0r4ZZ7Rpj3pWCfuU_simg_b5529c_250x250_maxb.jpg,0,0,0,OEM,1/2/2849/3640/3656,"[{""id"": 2849, ""title"": ""Tân Trang Nhà Cửa"", ""path"": ""tan-trang-nha-cua"", ""url_key"": ""tan-trang-nha-cua""}, {""id"": 3640, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac"", ""url_key"": ""tan-trang-nha-cua-khac""}, {""id"": 3656, ""title"": ""Tân trang nhà cửa khác"", ""path"": ""tan-trang-nha-cua/tan-trang-nha-cua-khac/tan-trang-nha-cua-khac-3"", ""url_key"": ""tan-trang-nha-cua-khac-3""}]",109000,109000,820403,SON CHAU,shop/son-chau,4.8,"[""shop_plus""]",Bà Rịa–Vũng Tàu,1,666,0
